Date,time,Flight_index,ATRsum
2018-07-01,0,0,1.6614576586433658e-24
2018-07-01,0,1,1.1589474696794025e-23
2018-07-01,0,2,3.127840987158921e-23
2018-07-01,0,3,4.961629131952721e-25
2018-07-01,0,4,9.836613446884755e-24
2018-07-01,0,5,7.440686250672863e-24
2018-07-01,0,6,4.022232865105793e-23
2018-07-01,0,7,1.5537356620657233e-23
2018-07-01,0,8,3.629070359446101e-24
2018-07-01,0,9,6.967788173722507e-24
2018-07-01,0,10,4.491258399002813e-23
2018-07-01,0,11,2.419468188742718e-23
2018-07-01,0,12,7.187959595838766e-23
2018-07-01,0,13,3.428386061354372e-23
2018-07-01,0,14,4.654885886981261e-23
2018-07-01,0,15,1.445486493255061e-23
2018-07-01,0,16,7.947044075608947e-24
2018-07-01,0,17,5.7390138960882485e-24
2018-07-01,0,18,8.923933539110147e-24
2018-07-01,0,19,3.2338158946265454e-23
2018-07-01,0,20,3.3335788814559576e-23
2018-07-01,0,21,4.968022493878922e-25
2018-07-01,0,22,3.0655017559608655e-23
2018-07-01,0,23,1.6208986583664588e-23
2018-07-01,0,24,3.127637705542564e-25
2018-07-01,0,25,5.355652652957209e-23
2018-07-01,0,26,2.867342842011659e-23
2018-07-01,0,27,4.2754111111870853e-23
2018-07-01,0,28,1.2460616688925865e-23
2018-07-01,0,29,6.2576520130627216e-24
2018-07-01,0,30,5.186589877524624e-23
2018-07-01,0,31,1.0626038694782088e-23
2018-07-01,0,32,3.076852100760332e-23
2018-07-01,0,33,3.7623838554239647e-25
2018-07-01,0,34,1.3015287190066045e-23
2018-07-01,0,35,4.819506236389039e-24
2018-07-01,0,36,3.918748693629124e-23
2018-07-01,0,37,3.1003371720111177e-25
2018-07-01,0,38,3.6269305002326485e-24
2018-07-01,0,39,2.116236921624553e-23
2018-07-01,0,40,7.171587831543501e-24
2018-07-01,0,41,8.867736014780245e-24
2018-07-01,0,42,2.7228905326760817e-25
2018-07-01,0,43,2.755130158830492e-23
2018-07-01,0,44,1.8154251632360422e-23
2018-07-01,0,45,6.805396896236539e-25
2018-07-01,0,46,6.2617673415411434e-24
2018-07-01,0,47,4.0743211794601817e-25
2018-07-01,0,48,3.264241844444156e-23
2018-07-01,0,49,5.22064190480584e-23
2018-07-01,0,50,4.0930867627930838e-25
2018-07-01,0,51,4.076160073996421e-23
2018-07-01,0,52,5.156765954396614e-25
2018-07-01,0,53,1.9368271921096065e-23
2018-07-01,0,54,5.711387748793627e-25
2018-07-01,0,55,5.902015739221156e-23
